Term,Age,TobaccoUse,RatePerThousand
25,23,False,0.1200
25,24,False,0.1200
25,25,False,0.1200
25,26,False,0.1300
25,27,False,0.1300
25,28,False,0.1300
25,29,False,0.1300
25,30,False,0.1400
25,31,False,0.1400
25,32,False,0.1400
25,33,False,0.1500
25,34,False,0.1500
25,35,False,0.1600
25,36,False,0.1800
25,37,False,0.2000
25,38,False,0.2300
25,39,False,0.2600
25,40,False,0.3000
25,41,False,0.3300
25,42,False,0.3700
25,43,False,0.4000
25,44,False,0.4500
25,45,False,0.5000
25,46,False,0.5700
25,47,False,0.6300
25,48,False,0.7000
25,49,False,0.8200
25,50,False,0.9400
25,51,False,1.2600
25,52,False,1.6100
25,53,False,1.9800
25,54,False,2.4900
25,55,False,3.0000
25,20,True,0.1500
25,21,True,0.1500
25,22,True,0.1500
25,23,True,0.1500
25,24,True,0.1600
25,25,True,0.1600
25,26,True,0.1600
25,27,True,0.1700
25,28,True,0.1800
25,29,True,0.1900
25,30,True,0.2000
25,31,True,0.2100
25,32,True,0.2200
25,33,True,0.2300
25,34,True,0.2400
25,35,True,0.2800
25,36,True,0.3200
25,37,True,0.3800
25,38,True,0.4300
25,39,True,0.5100
25,40,True,0.6000
25,41,True,0.6800
25,42,True,0.7700
25,43,True,0.8600
25,44,True,0.9700
25,45,True,1.0800
25,46,True,1.2200
25,47,True,1.3200
25,48,True,1.4500
25,49,True,1.6200
25,50,True,1.7900
25,51,True,2.6300
25,52,True,3.4700
25,53,True,4.3400
25,54,True,5.5800
25,55,True,6.6100
30,20,False,0.1100
30,21,False,0.1100
30,22,False,0.1200
30,23,False,0.1200
30,24,False,0.1200
30,25,False,0.1200
30,26,False,0.1300
30,27,False,0.1300
30,28,False,0.1400
30,29,False,0.1400
30,30,False,0.1500
30,31,False,0.1500
30,32,False,0.1500
30,33,False,0.1600
30,34,False,0.1600
30,35,False,0.1800
30,36,False,0.2000
30,37,False,0.2300
30,38,False,0.2700
30,39,False,0.3100
30,40,False,0.3600
30,41,False,0.4000
30,42,False,0.4400
